0,12,8,1,0
0,12,8,2,0
0,12,9,0,0
0,12,9,1,0
0,12,9,2,0
0,12,10,0,0
0,12,10,1,0
0,12,10,2,0
0,12,11,0,0
0,12,11,1,0
0,12,11,2,0
0,13,0,0,2620
0,13,0,1,2432
0,13,0,2,2451
0,13,1,0,2689
0,13,1,1,2310
0,13,1,2,2488
0,13,2,0,2805
0,13,2,1,2302
0,13,2,2,2452
0,13,3,0,2646
0,13,3,1,2352
0,13,3,2,2334
0,13,4,0,2672
0,13,4,1,2371
0,13,4,2,2334
0,13,5,0,0
0,13,5,1,0
0,13,5,2,0
0,13,6,0,0
0,13,6,1,0
0,13,6,2,0
0,13,7,0,0
0,13,7,1,0
0,13,7,2,0
0,13,8,0,0
0,13,8,1,0
0,13,8,2,0
0,13,9,0,0
0,13,9,1,0
0,13,9,2,0
0,13,10,0,0
0,13,10,1,0
0,13,10,2,0
0,13,11,0,0
0,13,11,1,0
0,13,11,2,0
0,14,0,0,1932
0,14,0,1,1967
0,14,0,2,1987
0,14,1,0,1937
0,14,1,1,2091
0,14,1,2,2096
0,14,2,0,1927
0,14,2,1,2079
0,14,2,2,2083
0,14,3,0,1869
0,14,3,1,2244
0,14,3,2,2200
0,14,4,0,1964
0,14,4,1,2165
0,14,4,2,2348
0,14,5,0,0
0,14,5,1,0
0,14,5,2,0
0,14,6,0,0
0,14,6,1,0
0,14,6,2,0
0,14,7,0,0
0,14,7,1,0
0,14,7,2,0
0,14,8,0,0
0,14,8,1,0
0,14,8,2,0
0,14,9,0,0
0,14,9,1,0
0,14,9,2,0
0,14,10,0,0
0,14,10,1,0
0,14,10,2,0
0,14,11,0,0
0,14,11,1,0
0,14,11,2,0
1,0,0,0,1313
1,0,0,1,1371
1,0,0,2,1359
1,0,1,0,1311
1,0,1,1,1380
1,0,1,2,1369
1,0,2,0,1321
1,0,2,1,1399
1,0,2,2,1374
1,0,3,0,1343
1,0,3,1,1386
1,0,3,2,1419
1,0,4,0,1334
1,0,4,1,1400
1,0,4,2,1408
1,0,5,0,0
1,0,5,1,0
1,0,5,2,0
1,0,6,0,0
1,0,6,1,0
1,0,6,2,0
1,0,7,0,0
1,0,7,1,0
1,0,7,2,0
1,0,8,0,0
1,0,8,1,0
1,0,8,2,0
1,0,9,0,0
1,0,9,1,0
1,0,9,2,0
1,0,10,0,0
1,0,10,1,0
1,0,10,2,0
1,0,11,0,0
1,0,11,1,0
1,0,11,2,0
1,1,0,0,1363
1,1,0,1,1483
1,1,0,2,1500
1,1,1,0,0
1,1,1,1,1450
1,1,1,2,0
1,1,2,0,1365
1,1,2,1,1365
1,1,2,2,1375
1,1,3,0,1335
1,1,3,1,1330
1,1,3,2,1365
1,1,4,0,1382
1,1,4,1,1326
1,1,4,2,1330
1,1,5,0,0
1,1,5,1,0
1,1,5,2,0
